name,otherTableId
Binə,1
Buzovna,1
Dübəndi,1
Gürgən,1
Qala,1
Mərdəkan,1
Şağan,1
Şimal DRES,1
Şüvəlan,1
Türkan,1
Zirə,1
2-ci Alatava,2
28 Mayy,2
6-cı mikrorayon,2
7-ci mikrorayon,2
8-ci mikrorayon,2
9-cu mikrorayon,2
Biləcəri,2
Binəqədi,2
Xocəsən,2
Xutor,2
M.Ə.Rəsulzadə,2
Sulutəpə,2
Böyükşor,3
1-ci mikrorayon,4
2-ci mikrorayon,4
3-ci mikrorayon,4
4-ci mikrorayon,4
5-ci mikrorayon,4
Kubinka,4
8-ci kilometr,5
Keşlə,5
20-ci sahə,6
Badamdar,6
Bayıl,6
Bakıxanov,7
Balaxanı,7
Bilgəh,7
Kürdəxanı,7
Maştağa,7
Məmmədli,7
Nardaran,7
Pirşağı,7
Ramana,7
Sabunçu,7
Savalan,7
Yeni Balaxanı,7
Yeni Ramana,7
Zabrat,7
Əhmədli,8
Həzi Aslanov,8
Köhnə Günəşli,8
NZS,8
Bahar,9
Bülbülə,9
Dədə Qorqud,9
Əmircan,9
Günəşli,9
Hövsan,9
Qaraçuxur,9
Massiv A,9
Massiv B,9
Massiv D,9
Massiv G,9
Massiv V,9
Suraxanı,9
Şərq,9
Yeni Günəşli,9
Yeni Suraxanı,9
Zığ,9
Yeni Yasamal,10
Bibi Heybət,11
Ələt,11
Qızıldaş,11
Qobustan,11
Lökbatan,11
Puta,11
Sahil,11
Səngəçal,11
Şıxov,11
Şubani,11
Ceyranbatan,13
Çiçək,13
Digah,13
Fatmayı,13
Görədil,13
Hökməli,13
Köhnə Corat,13
Qobu,13
Masazır,13
Mehdiabad,13
Müşviqabad,13
Novxanı,13
Pirəkəşkül,13
Saray,13
Yeni Corat,13
Zağulba,13
